# Neutron scattering cross section data of natural elements and isotopes
# 
# Sources:
#    http://www.sisweb.com/referenc/source/exactmas.htm
# Z            charge number
# A            mass number, -1 for natural mixture of isotopes
# name         short atom name
# P            natural abundance, sum(P)=1
# bc           bound coherent scattering length (fm)
# mass         mass in g/mol
# sigma_coh    coherent cross section (barn)
# sigma_inc    incoherent cross section (barn)
# sigma_scatt  total cross section (barn)
# sigma_abs    thermal absorption cross section for thermal neutrons (barn)
#
  Z   A      P name     mass       bc  sigma_coh    sigma_inc sigma_scatt     sigma_abs
 56 132  0.001   Ba 131.9050   7.8000     7.6000     0.000000       7.600      7.000000
 56 134  0.024   Ba 133.9045   5.7000     4.0800     0.000000       4.080      2.000000
 56 135  0.066   Ba 134.9057   4.6700     2.7400     0.500000       3.200      5.800000
 56 136  0.079   Ba 135.9046   4.9100     3.0300     0.000000       3.030      0.680000
 56 137  0.112   Ba 136.9058   6.8300     5.8600     0.500000       6.400      3.600000
 56 138  0.717   Ba 137.9052   4.8400     2.9400     0.000000       2.940      0.270000
 57  -1 -1.000   La 138.9055   8.2400     8.5300     1.130000       9.660      8.970000
 57 138  0.001   La 137.9071   8.0000     8.0000     0.500000       8.500     57.000000
 57 139  0.999   La 138.9064   8.2400     8.5300     1.130000       9.660      8.930000
 58  -1 -1.000   Ce 140.1149   4.8400     2.9400     0.001000       2.940      0.630000
 58 136  0.002   Ce 135.9071   5.8000     4.2300     0.000000       4.230      7.300000
 58 138  0.003   Ce 137.9060   6.7000     5.6400     0.000000       5.640      1.100000
 58 140  0.885   Ce 139.9054   4.8400     2.9400     0.000000       2.940      0.570000
 58 142  0.111   Ce 141.9092   4.7500     2.8400     0.000000       2.840      0.950000
 59  -1  1.000   Pr 140.9077   4.5800     2.6400     0.015000       2.660     11.500000
 60  -1 -1.000   Nd 144.2423   7.6900     7.4300     9.200000      16.600     50.500000
 60 142  0.272   Nd 141.9077   7.7000     7.5000     0.000000       7.500     18.700000
 60 143  0.122   Nd 142.9098  14.0000    25.0000    55.000000      80.000    337.000000
 60 144  0.238   Nd 143.9101   2.8000     1.0000     0.000000       1.000      3.600000
 60 145  0.083   Nd 144.9126  14.0000    25.0000     5.000000      30.000     42.000000
 60 146  0.172   Nd 145.9131   8.7000     9.5000     0.000000       9.500      1.400000
 60 148  0.058   Nd 147.9169   5.7000     4.1000     0.000000       4.100      2.500000
 60 150  0.056   Nd 149.9209   5.3000     3.5000     0.000000       3.500      1.200000
 61  -1 -1.000   Pm      NaN  12.6000    20.0000     1.300000      21.300    168.400000
 62  -1 -1.000   Sm 150.3603   0.8000     0.4220    39.000000      39.000   5922.000000
 62 144  0.031   Sm 143.9120  -3.0000     1.0000     0.000000       1.000      0.700000
